ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,Country_sp,Iso3166,Report ,Type,(C/TC) x100 (e),(SD/D) x100 (e),0,CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Lab Confirm Incidence rate,Number of Records,Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Southern Cone,  ,2020,In,53,Cono Sur,,01/01/2020,Preliminar,50.59901331,0.061818151,0,0.037,885632,648,-,617.99,312.7,1,283222,1082,1750295
1,North America,  ,2025,In,53,América del Norte,,01/01/2025,Preliminar,100,2.168256722,0,0,1153,0,-,0.3,0.3,1,387401,25,1153
5,Latin Caribbean,  ,2024,In,53,Caribe Latino,,01/01/2024,Preliminar,41.56449663,2.031888563,0,0.248,7221,43,-,67.74,28.15,1,25648,353,17373
2,Central America Ithsmus and Mexico,  ,2020,In,53,Istmo Centroamericano y México,,01/01/2020,Preliminar,12.82237014,1.313110345,0,0.047,29031,106,-,128.07,16.42,1,176791,2973,226409
5,Latin Caribbean,  ,2015,In,53,Caribe Latino,,01/01/2015,Preliminar,8.482966126,8.997379404,0,0.519,1748,107,-,81.67,6.93,1,25230,1854,20606
6,Non-Latin Caribbean,  ,2024,In,53,Caribe No Latino,,01/01/2024,Preliminar,29.51891588,1.36617746,0,0.043,26771,39,-,441.21,130.24,1,20555,1239,90691
2,Central America Ithsmus and Mexico,  ,2025,In,53,Istmo Centroamericano y México,,01/01/2025,Preliminar,18.22932641,0.45208857,0,0.051,45766,129,-,135.59,24.72,1,185155,1135,251057
3,Andean Subregion,  ,2024,In,53,Subregión Andina,,01/01/2024,Preliminar,80.23934118,0.596529132,0,0.083,571938,594,-,488.03,391.59,1,146056,4252,712790
1,North America,  ,2014,In,53,América del Norte,,01/01/2014,Preliminar,100,0,0,0,668,0,-,0.19,0.19,1,358749,0,668
6,Non-Latin Caribbean,  ,2021,In,53,Caribe No Latino,,01/01/2021,Preliminar,34.97880665,0,0,0,5364,0,-,76.01,26.59,1,20174,0,15335
1,North America,  ,2022,In,53,América del Norte,,01/01/2022,Preliminar,100,1.557093426,0,0,1156,0,-,0.3,0.3,1,380355,18,1156
3,Andean Subregion,  ,2019,In,53,Subregión Andina,,01/01/2019,Preliminar,24.88974904,0.940702433,0,0.095,47070,179,-,134.79,33.55,1,140305,1779,189114
4,Southern Cone,  ,2024,In,53,Cono Sur,,01/01/2024,Preliminar,55.63989094,0.091308328,0,0.062,6200875,6860,-,"3,872.73","2,154.78",1,287773,10176,11144657
4,Southern Cone,  ,2016,In,53,Cono Sur,,01/01/2016,Preliminar,45.6890074,0.042570517,0,0.031,1082914,733,-,861.84,393.77,1,275013,1009,2370185
3,Andean Subregion,  ,2015,In,53,Subregión Andina,,01/01/2015,Preliminar,35.03525322,0.768734986,0,0.115,89692,295,-,189.24,66.3,1,135279,1968,256005
2,Central America Ithsmus and Mexico,  ,2024,In,53,Istmo Centroamericano y México,,01/01/2024,Preliminar,17.12057885,0.648215467,0,0.082,187445,895,-,596.95,102.2,1,183407,7097,1094852
